Estacion,Fecha inicial,Fecha final,PM10
CAM NORTE,2018 Jan 07 12:00:00 AM,,"26,52173913"
CAM NORTE,2018 Jan 06 12:00:00 AM,,"20,86956522"
CAM NORTE,2018 Jan 05 12:00:00 AM,,"28,69565217"
CAM NORTE,2018 Jan 04 12:00:00 AM,,"31,73913043"
CAM NORTE,2017 Dec 31 12:00:00 AM,,"12,17391304"
CAM NORTE,2017 Dec 28 12:00:00 AM,,"21,73913043"
CAM NORTE,2017 Dec 25 12:00:00 AM,,"14,7826087"
CAM NORTE,2017 Dec 22 12:00:00 AM,,"20,86956522"
CAM NORTE,2017 Dec 19 12:00:00 AM,,"11,73913043"
CAM NORTE,2017 Dec 16 12:00:00 AM,,"17,82608696"
CAM NORTE,2017 Dec 13 12:00:00 AM,,"25,65217391"
CAM NORTE,2017 Dec 10 12:00:00 AM,,"24,34782609"
CAM NORTE,2017 Dec 07 12:00:00 AM,,"13,47826087"
CAM NORTE,2017 Dec 04 12:00:00 AM,,"23,04347826"
CAM NORTE,2017 Nov 28 12:00:00 AM,,"26,95652174"
CAM NORTE,2017 Nov 25 12:00:00 AM,,"18,26086957"
CAM NORTE,2017 Nov 22 12:00:00 AM,,"15,65217391"
CAM NORTE,2017 Nov 19 12:00:00 AM,,"18,69565217"
CAM NORTE,2017 Nov 16 12:00:00 AM,,"19,56521739"
CAM NORTE,2017 Nov 13 12:00:00 AM,,"17,39130435"
CAM NORTE,2017 Nov 10 12:00:00 AM,,"21,73913043"
CAM NORTE,2017 Nov 07 12:00:00 AM,,"17,82608696"
CAM NORTE,2017 Nov 04 12:00:00 AM,,"21,73913043"
CAM NORTE,2017 Nov 01 12:00:00 AM,,"26,08695652"
CAM NORTE,2017 Oct 29 12:00:00 AM,,"26,95652174"
CAM NORTE,2017 Oct 26 12:00:00 AM,,"25,2173913"
CAM NORTE,2017 Oct 23 12:00:00 AM,,"22,60869565"
CAM NORTE,2017 Oct 20 12:00:00 AM,,"29,56521739"
CAM NORTE,2017 Oct 17 12:00:00 AM,,"20,43478261"
CAM NORTE,2017 Oct 14 12:00:00 AM,,"25,2173913"
CAM NORTE,2017 Oct 11 12:00:00 AM,,"23,47826087"
CAM NORTE,2017 Oct 08 12:00:00 AM,,"26,95652174"
CAM NORTE,2017 Oct 05 12:00:00 AM,,"33,04347826"
CAM NORTE,2017 Oct 02 12:00:00 AM,,"32,17391304"
CAM NORTE,2017 Sep 29 12:00:00 AM,,"20,43478261"
CAM NORTE,2017 Sep 26 12:00:00 AM,,"16,95652174"
CAM NORTE,2017 Sep 23 12:00:00 AM,,"33,91304348"
CAM NORTE,2017 Sep 20 12:00:00 AM,,"18,69565217"
CAM NORTE,2017 Sep 17 12:00:00 AM,,"22,17391304"
CAM NORTE,2017 Sep 14 12:00:00 AM,,"20,86956522"
CAM NORTE,2017 Sep 11 12:00:00 AM,,"22,60869565"
CAM NORTE,2017 Sep 08 12:00:00 AM,,"38,26086957"
CAM NORTE,2017 Sep 05 12:00:00 AM,,"26,52173913"
CAM NORTE,2017 Sep 02 12:00:00 AM,,"13,04347826"
CAM NORTE,2017 Aug 30 12:00:00 AM,,"24,34782609"
CAM NORTE,2017 Aug 27 12:00:00 AM,,"29,13043478"
CAM NORTE,2017 Aug 24 12:00:00 AM,,"22,17391304"
CAM NORTE,2017 Aug 21 12:00:00 AM,,"29,13043478"
CAM NORTE,2017 Aug 18 12:00:00 AM,,"30,43478261"
CAM NORTE,2017 Aug 15 12:00:00 AM,,"36,95652174"
CAM NORTE,2017 Aug 12 12:00:00 AM,,"23,04347826"
CAM NORTE,2017 Aug 09 12:00:00 AM,,"33,47826087"
CAM NORTE,2017 Aug 06 12:00:00 AM,,"24,56521739"
CAM NORTE,2017 Aug 03 12:00:00 AM,,"32,17391304"
CAM NORTE,2017 Jul 28 12:00:00 AM,,30
CAM NORTE,2017 Jul 25 12:00:00 AM,,"33,04347826"
CAM NORTE,2017 Jul 22 12:00:00 AM,,"38,69565217"
CAM NORTE,2017 Jul 19 12:00:00 AM,,"29,13043478"
CAM NORTE,2017 Jul 16 12:00:00 AM,,"21,30434783"
